feature,importance,std,test_rows
sale_count_12m_g54,-0.0037731037041835425,0.0024735777219519937,5000
response_sms,-0.0037919906436618433,0.0005437007749995416,5000
cheque_count_6m_g20,-0.004112849351035906,0.003148254923747562,5000
k_var_disc_share_1m_g54,-0.00415970945672003,0.0017950673346625633,5000
cheque_count_12m_g20,-0.004318746421217975,0.00476569329372698,5000
cheque_count_6m_g48,-0.004514082174140364,0.007349581949901588,5000
sale_sum_6m_g25,-0.0046408399594529345,0.0015055641303556597,5000
k_var_sku_per_cheque_15d,-0.004978061528380994,0.005378395028989532,5000
k_var_sku_price_3m_g48,-0.0050114525354993935,0.0027415008329367088,5000
cheque_count_12m_g38,-0.005222410658459309,0.00547378152152022,5000
k_var_cheque_category_width_15d,-0.005447960418697509,0.0006242263967888153,5000
cheque_count_6m_g42,-0.005774641713739127,0.002956155283713582,5000
k_var_sku_price_1m_g40,-0.0062380199649900445,0.005887448346071547,5000
cheque_count_6m_g38,-0.006696938671987015,0.001609189719053336,5000
sale_sum_12m_g26,-0.00684379412619538,0.008700369118445603,5000
k_var_sku_price_1m_g44,-0.006943165627590445,0.0016399471371385727,5000
k_var_sku_price_1m_g26,-0.007072509504508198,0.005648184679985864,5000
cheque_count_6m_g32,-0.007173929640449689,0.004953674576334191,5000
k_var_cheque_3m,-0.007768709751267394,0.0026644706427889245,5000
perdelta_days_between_visits_15_30d,-0.007821251981966934,0.0005451604867177211,5000
cheque_count_6m_g39,-0.00787595923427263,0.0020946450404000084,5000
cheque_count_6m_g41,-0.008072363466059069,0.010431767314842915,5000
k_var_disc_share_3m_g44,-0.008116279321930321,0.003043058094428152,5000
cheque_count_3m_g42,-0.008240570007562367,0.0012311268965724753,5000
cheque_count_12m_g21,-0.00863777862176088,0.0012796464178846012,5000
sale_count_6m_g25,-0.009179125117301772,0.014434382261962649,5000
promo_share_15d,-0.009921376157435395,0.011340130122992594,5000
k_var_cheque_group_width_15d,-0.01015574877735629,0.00047364702046447804,5000
cheque_count_12m_g41,-0.010860268248532859,0.004519775766448217,5000
sale_count_6m_g32,-0.011547962272777537,0.0011648270874881116,5000
cheque_count_6m_g33,-0.017724351989848244,0.010327332442188033,5000
k_var_count_per_cheque_3m_g27,-0.018630078724568153,0.003151556608555329,5000
stdev_days_between_visits_15d,-0.021061622613949792,0.015007084019335606,5000
